GRAPHEME,DESCRIPTION
ã,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral low nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
a̯,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral low non-nasal place non-sibilant sonorant non-spread non-strident non-syllabic tense voice
ḁ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense non-voice
a,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
ă,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral non-long low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
ãː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral long low nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
aː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral long low non-nasal place non-sibilant sonorant non-spread non-strident syllabic tense voice
æ̃,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral low nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
æ,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral low non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
æ̃ː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral long low nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
æː,anterior approximant non-back non-click non-consonantal non-constricted continuant coronal distributed dorsal non-high non-labial laryngeal non-lateral long low non-nasal place non-sibilant sonorant non-spread non-strident syllabic non-tense voice
ɐ̃,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral low nasal place sonorant non-spread syllabic non-tense voice
ɐ̯,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral low non-nasal place sonorant non-spread non-syllabic non-tense voice
ɐ,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral low non-nasal place sonorant non-spread syllabic non-tense voice
ɐ̃ː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long low nasal place sonorant non-spread syllabic non-tense voice
ɐː,non-anterior approximant non-back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long low non-nasal place sonorant non-spread syllabic non-tense voice
ɑ̃,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral low nasal place sonorant non-spread syllabic tense voice
ɑ,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral low non-nasal place sonorant non-spread syllabic tense voice
ɑ̃ː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long low nasal place sonorant non-spread syllabic tense voice
ɑː,non-anterior approximant back non-click non-consonantal non-constricted continuant non-coronal distributed dorsal non-high non-labial laryngeal non-lateral long low non-nasal place sonorant non-spread syllabic tense voice
